aane1101,SATARA-KARAHAD-GP-aane1101
abaichiwadi1101,SATARA-KARAHAD-GP-abaichiwadi1101
adarshnagar1101,SATARA-KARAHAD-GP-adarshnagar1101
akaichiwadi1101,SATARA-KARAHAD-GP-akaichiwadi1101
ambavade1101,SATARA-KARAHAD-GP-ambavade1101
andharwadi1101,SATARA-KARAHAD-GP-andharwadi1101
antvadi1101,SATARA-KARAHAD-GP-antvadi1101
arewadi1101,SATARA-KARAHAD-GP-arewadi1101
atake1101,SATARA-KARAHAD-GP-atake1101
babarmachis1101,SATARA-KARAHAD-GP-babarmachis1101
bamanwadi1101,SATARA-KARAHAD-GP-bamanwadi1101
banugadewadi1101,SATARA-KARAHAD-GP-banugadewadi1101
banvadi1101,SATARA-KARAHAD-GP-banvadi1101
belawade.bk1101,SATARA-KARAHAD-GP-belawade.bk1101
beldare1101,SATARA-KARAHAD-GP-beldare1101
belvade.haveli1101,SATARA-KARAHAD-GP-belvade.haveli1101
belwadi1101,SATARA-KARAHAD-GP-belwadi1101
bhambe1101,SATARA-KARAHAD-GP-bhambe1101
bharewadi1101,SATARA-KARAHAD-GP-bharewadi1101
bhavanwadi1101,SATARA-KARAHAD-GP-bhavanwadi1101
bholewadi1101,SATARA-KARAHAD-GP-bholewadi1101
bhosalewadi1101,SATARA-KARAHAD-GP-bhosalewadi1101
bhurbhushi1101,SATARA-KARAHAD-GP-bhurbhushi1101
bhuyachiwadi1101,SATARA-KARAHAD-GP-bhuyachiwadi1101
chachegaon1101,SATARA-KARAHAD-GP-chachegaon1101
charegaon1101,SATARA-KARAHAD-GP-charegaon1101
chikhali1101,SATARA-KARAHAD-GP-chikhali1101
chinchani1101,SATARA-KARAHAD-GP-chinchani1101
chorajwadi1101,SATARA-KARAHAD-GP-chorajwadi1101
chore1101,SATARA-KARAHAD-GP-chore1101
chougulemala1101,SATARA-KARAHAD-GP-chougulemala1101
delewadi1101,SATARA-KARAHAD-GP-delewadi1101
dhanakwadi1101,SATARA-KARAHAD-GP-dhanakwadi1101
dhavarwadi1101,SATARA-KARAHAD-GP-dhavarwadi1101
dhondewadi1101,SATARA-KARAHAD-GP-dhondewadi1101
dushere1101,SATARA-KARAHAD-GP-dushere1101
gaikwadwadi1101,SATARA-KARAHAD-GP-gaikwadwadi1101
gamewadi1101,SATARA-KARAHAD-GP-gamewadi1101
ganeshwadi1101,SATARA-KARAHAD-GP-ganeshwadi1101
gharalwadi1101,SATARA-KARAHAD-GP-gharalwadi1101
gharewadi1101,SATARA-KARAHAD-GP-gharewadi1101
ghogaon1101,SATARA-KARAHAD-GP-ghogaon1101
gholapwadi1101,SATARA-KARAHAD-GP-gholapwadi1101
ghonashi1101,SATARA-KARAHAD-GP-ghonashi1101
godwadiumbraj1101,SATARA-KARAHAD-GP-godwadiumbraj1101
goleshwar1101,SATARA-KARAHAD-GP-goleshwar1101
gondi1101,SATARA-KARAHAD-GP-gondi1101
gosavewadi1101,SATARA-KARAHAD-GP-gosavewadi1101
gote1101,SATARA-KARAHAD-GP-gote1101
gotewadi1101,SATARA-KARAHAD-GP-gotewadi1101
goware1101,SATARA-KARAHAD-GP-goware1101
hajarmachi1101,SATARA-KARAHAD-GP-hajarmachi1101
hanamantwadi1101,SATARA-KARAHAD-GP-hanamantwadi1101
hanbarwadi1101,SATARA-KARAHAD-GP-hanbarwadi1101
hanumanwadi1101,SATARA-KARAHAD-GP-hanumanwadi1101
harphalwadi1101,SATARA-KARAHAD-GP-harphalwadi1101
havelwadi1101,SATARA-KARAHAD-GP-havelwadi1101
helgaon1101,SATARA-KARAHAD-GP-helgaon1101
hingnole1101,SATARA-KARAHAD-GP-hingnole1101
indoli1101,SATARA-KARAHAD-GP-indoli1101
jakhinwadi1101,SATARA-KARAHAD-GP-jakhinwadi1101
jinti1101,SATARA-KARAHAD-GP-jinti1101
jujarwadi1101,SATARA-KARAHAD-GP-jujarwadi1101
julewadi1101,SATARA-KARAHAD-GP-julewadi1101
kacharewadi1101,SATARA-KARAHAD-GP-kacharewadi1101
kalantrewadi1101,SATARA-KARAHAD-GP-kalantrewadi1101
kalavade1101,SATARA-KARAHAD-GP-kalavade1101
kaletake1101,SATARA-KARAHAD-GP-kaletake1101
kalgaon1101,SATARA-KARAHAD-GP-kalgaon1101
kamathi1101,SATARA-KARAHAD-GP-kamathi1101
kambirwadi1101,SATARA-KARAHAD-GP-kambirwadi1101
kapil1101,SATARA-KARAHAD-GP-kapil1101
karawadi1101,SATARA-KARAHAD-GP-karawadi1101
karve1101,SATARA-KARAHAD-GP-karve1101
kasabe.kale1101,SATARA-KARAHAD-GP-kasabe.kale1101
kasarshirambe1101,SATARA-KARAHAD-GP-kasarshirambe1101
kavathe1101,SATARA-KARAHAD-GP-kavathe1101
kavathe.navin1101,SATARA-KARAHAD-GP-kavathe.navin1101
kese1101,SATARA-KARAHAD-GP-kese1101
khalkarwadi1101,SATARA-KARAHAD-GP-khalkarwadi1101
kharade1101,SATARA-KARAHAD-GP-kharade1101
khodashi1101,SATARA-KARAHAD-GP-khodashi1101
khodjaiwadi1101,SATARA-KARAHAD-GP-khodjaiwadi1101
khubi1101,SATARA-KARAHAD-GP-khubi1101
kirape1101,SATARA-KARAHAD-GP-kirape1101
kival1101,SATARA-KARAHAD-GP-kival1101
kodoli1101,SATARA-KARAHAD-GP-kodoli1101
kole1101,SATARA-KARAHAD-GP-kole1101
kolewadi1101,SATARA-KARAHAD-GP-kolewadi1101
konegaon1101,SATARA-KARAHAD-GP-konegaon1101
koregaon1101,SATARA-KARAHAD-GP-koregaon1101
koriwale1101,SATARA-KARAHAD-GP-koriwale1101
korti1101,SATARA-KARAHAD-GP-korti1101
kusur1101,SATARA-KARAHAD-GP-kusur1101
latakewadi1101,SATARA-KARAHAD-GP-latakewadi1101
loharwadi1101,SATARA-KARAHAD-GP-loharwadi1101
maharugadewadi1101,SATARA-KARAHAD-GP-maharugadewadi1101
malkhed1101,SATARA-KARAHAD-GP-malkhed1101
malwadi1101,SATARA-KARAHAD-GP-malwadi1101
mangwadi1101,SATARA-KARAHAD-GP-mangwadi1101
manu1101,SATARA-KARAHAD-GP-manu1101
marali1101,SATARA-KARAHAD-GP-marali1101
maskarwadi1101,SATARA-KARAHAD-GP-maskarwadi1101
